,Year,Month,Date,Hour,Minute,Second,Region,Lat,Lon,Depth(m),Mag,Mag_type
237,2020,5,29,0,30,29.3,"ANDAMAN ISLANDS, INDIA REGION",11.7257,92.3273,10000,4.5,mb
238,2020,5,25,14,42,17.2,MYANMAR-INDIA BORDER REGION,24.3907,93.921,55150,5.2,mb
239,2020,5,23,9,11,36.8,"ANDAMAN ISLANDS, INDIA REGION",14.0613,94.01,74020,4.7,mb
240,2020,5,22,19,43,8.3,"ANDAMAN ISLANDS, INDIA REGION",11.3192,93.5383,103130,4.3,mb
241,2020,5,17,5,22,9.1,EASTERN XIZANG-INDIA BORDER REG.,29.9346,94.9732,10000,4.6,mb
242,2020,5,17,4,32,15.4,MYANMAR,20.5275,96.0814,10000,4.6,mb
243,2020,5,11,22,39,35.5,MYANMAR-INDIA BORDER REGION,24.8084,94.1112,63540,4.6,mb
244,2020,5,6,11,26,53.4,NEAR SOUTH COAST OF MYANMAR,16.6323,94.4495,14920,4.1,mb
245,2020,5,5,22,15,4.1,MYANMAR,20.9941,94.4334,83340,4.1,mb
246,2020,4,27,19,54,31.1,"ANDAMAN ISLANDS, INDIA REGION",12.1157,92.936,32590,4.4,mb
247,2020,4,24,5,15,21.2,MYANMAR,24.0324,95.8305,10000,4.6,mb
248,2020,4,22,18,47,0.2,MYANMAR,17.0062,96.2746,10000,3.1,ML
249,2020,4,20,5,19,15.4,MYANMAR,17.3704,95.1694,64380,4.2,mb
250,2020,4,17,10,59,11.3,EASTERN XIZANG-INDIA BORDER REG.,28.1205,93.9189,10000,4.1,mb
251,2020,4,16,11,45,24,MYANMAR,22.7822,94.0248,10000,5.9,mww
252,2020,4,15,19,36,20.9,MYANMAR,20.5448,93.6698,10000,4.2,mb
253,2020,4,13,17,34,3.9,"ANDAMAN ISLANDS, INDIA REGION",12.0153,92.9576,38000,4.3,mb
254,2020,4,7,10,39,2.2,EASTERN XIZANG-INDIA BORDER REG.,29.2723,95.1896,10000,4.4,mb
255,2020,4,5,17,50,30.5,NORTHEASTERN INDIA,26.4085,92.7724,46310,4.5,mb
256,2020,4,2,17,35,32.1,MYANMAR,26.1416,97.037,10000,4.2,mb
257,2020,3,7,4,5,43,MYANMAR,23.2305,96.1055,10000,4.5,mb
258,2020,3,5,6,59,54.5,MYANMAR,25.8362,96.7751,10000,4.5,mb
259,2020,3,4,0,20,3.2,MYANMAR,24.4202,96.1023,10000,4.8,mb
260,2020,3,3,9,18,50.4,MYANMAR,17.6247,94.3051,10000,4.9,mb
